variant,accuracy,avg_cost,savings_%,mean_cos_sim,eff_dim_90
Prior (no embedding),0.6517647058823529,0.00033465647058823517,96.43095801208258,,
MiniLM (raw),0.6341176470588236,0.00033556191280276817,96.42130165828306,0.3049059510231018,85.0
ZCA-whitened,0.6447058823529411,0.0003243426261480968,96.5409530281628,-0.0023251925595104694,292.0
PCA-128 whitened,0.6188235294117647,0.00030282887930242205,96.77039268511811,-0.0020742465276271105,108.0
+ code features,0.6070588235294118,0.00033761243807889265,96.39943323065364,0.07083873450756073,16.0
+ TF-IDF (SVD-64),0.611764705882353,0.0002877917442214532,96.93076061820373,0.27817502617836,101.0
LLM-expanded + ZCA,0.6305882352941177,0.00031260482249965385,96.66613427445273,-0.0023409980349242687,293.0
